province,zone,form_type,voting_type,station_id,station_name,candidate_no,candidate_name,party,votes,total_ballots,invalid_ballots,no_vote_ballots
ชัยภูมิ,2,518,election_day,32,บ้านกอก จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,,,,
ชัยภูมิ,2,518,election_day,32,บ้านกอก จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,518,election_day,34,บ้านขาม จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,34,บ้านขาม จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,191,,,
ชัยภูมิ,2,518,election_day,35,บ้านขาม จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,518,election_day,35,บ้านขาม จัตุรัส,10,ทางเลือกใหม่,---------น,,,,
ชัยภูมิ,2,518,election_day,37,บ้านขาม จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,518,election_day,37,บ้านขาม จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,2,,,
ชัยภูมิ,2,518,election_day,37,บ้านขาม จัตุรัส,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,998,,,
ชัยภูมิ,2,518,election_day,38,บ้านขาม จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,,,,
ชัยภูมิ,2,518,election_day,38,บ้านขาม จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,518,election_day,38,บ้านขาม จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,9,,,
ชัยภูมิ,2,518,election_day,38,บ้านขาม จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,518,election_day,39,บ้านขาม จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,248,,,
ชัยภูมิ,2,518,election_day,39,บ้านขาม จัตุรัส,9,,ประซาธิปัตย์ เพื่อไทย,183,,,
ชัยภูมิ,2,518,election_day,40,บ้านขาม จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,518,election_day,40,บ้านขาม จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,40,บ้านขาม จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
