priority,reason,suggested_action,row_index,province,form_type,vote_type,polling_station_no,choice_no,choice_name,party_name,votes,ballots_cast,valid_votes,invalid_votes,no_vote,ocr_confidence,validation_status,source_pdf,source_page
P0,missing_votes,Open source PDF page and type the vote value manually.,73,ชัยภูมิ,5_17_partylist,party_list,,54,,C,,,,,,0.6949,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,31
P0,missing_votes,Open source PDF page and type the vote value manually.,12,ชัยภูมิ,5_17,constituency,,8,g ...ิเช็ด นน,,,,,,,0.6975,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,3
P0,missing_votes,Open source PDF page and type the vote value manually.,13,ชัยภูมิ,5_17,constituency,,5,มยราง ูม$ ภมรมคก,,,,,,,0.7044,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,5
P0,missing_votes,Open source PDF page and type the vote value manually.,15,ชัยภูมิ,5_17,constituency,,11,bMกOงค,,,,,,,0.7065,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,7
P0,missing_votes,Open source PDF page and type the vote value manually.,16,ชัยภูมิ,5_17,constituency,,4,ดย,,,,,,,0.6348,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15
P0,missing_votes,Open source PDF page and type the vote value manually.,17,ชัยภูมิ,5_17,constituency,,5,งnm ดย,,,,,,,0.6348,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15
P0,missing_votes,Open source PDF page and type the vote value manually.,18,ชัยภูมิ,5_17,constituency,,7,เศรนกง,,,,,,,0.6348,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15
P0,missing_votes,Open source PDF page and type the vote value manually.,19,ชัยภูมิ,5_17,constituency,,2,เศรนกง,,,,,,,0.6348,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15
P0,missing_votes,Open source PDF page and type the vote value manually.,20,ชัยภูมิ,5_17,constituency,,8,เศรนกง,,,,,,,0.6348,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15
P0,missing_votes,Open source PDF page and type the vote value manually.,3,ชัยภูมิ,5_16_partylist,party_list,,5,,$ us,,,,,,0.7348,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-บัญชีรายชื่อ-นอกเขต.pdf,1
P0,missing_votes,Open source PDF page and type the vote value manually.,4,ชัยภูมิ,5_16_partylist,party_list,,9,,oud,,,,,,0.7348,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-บัญชีรายชื่อ-นอกเขต.pdf,1
P0,missing_votes,Open source PDF page and type the vote value manually.,5,ชัยภูมิ,5_16_partylist,party_list,,10,,oud,,,,,,0.7348,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-บัญชีรายชื่อ-นอกเขต.pdf,1
